Transaction,Type,Sender public key,Sender address,Recipient public key,Recipient address,Value,Token,Date&Time,Price $,SOON
856e7b2956bbadccf6da0a0860fab1edfebf95027fac943fbdb3e5f375268022,receive,0,0:82dcf6ea98fd85ced8f06f2562e4ab9ed62cad41753877a613460062ab236862,0,0:5c906a04946cec99de9bae1ca0bf041e441f44684c75c31bcb5974b480805fa2,266,USDT,1639958400000,"1,2","221,6667"
294182c73d693c65d73ecc58af38cf0688f887c3bbe4b645d455f63b6732f4c8,receive,0,0:d0ee75e8ac94d735a9bb553b68b7ccb141237646bf9529098663443724f54f19,0,0:5c906a04946cec99de9bae1ca0bf041e441f44684c75c31bcb5974b480805fa2,"1,07318",USDT,1639954708000,,"0,8943"
188fc67631b607d19ce61ea1fc0f3f9441263f24abed18a5360ab9cafa4b3463,receive,0,0:d0ee75e8ac94d735a9bb553b68b7ccb141237646bf9529098663443724f54f19,0,0:5c906a04946cec99de9bae1ca0bf041e441f44684c75c31bcb5974b480805fa2,200,USDT,1639950891000,,"166,6667"
8726379fe6004db167fe172483488f70004812d76d8bb5c5e20fe729ac173d06,receive,0,0:be68dc8c72a7f91f189a5f25b4396e2c33cef21a4e569e87c23d88cc81e75051,0,0:5c906a04946cec99de9bae1ca0bf041e441f44684c75c31bcb5974b480805fa2,5,USDT,1639949074000,,"4,1667"
051dc6e3ad27742fd3932f3298f4386094112c74bbeea8e95fcc26bfc0419a9d,receive,0,0:2eb4876602cad0acc22613d48742ad9aac9cd8d43bd5e5a784de822bae4bfe09,0,0:5c906a04946cec99de9bae1ca0bf041e441f44684c75c31bcb5974b480805fa2,"52,32232",USDT,1639947600000,,"43,6019"
5c403fc11e2d71323f7308ffad26ffd8a6e98bd201d8caa588310ecc17dc6b5f,receive,0,0:46dd397aaf790ebe06f802112734451263de9ac53c25f03b6d6168c8c1eb1993,0,0:5c906a04946cec99de9bae1ca0bf041e441f44684c75c31bcb5974b480805fa2,"124,753722",USDT,1639946308000,,"103,9614"
3c5aca5ad9db286f44d77847f58f19fefd9ab526992e6b2d96a1bfae0c8ef6be,receive,0,0:6311c6e1dfebc0dfc564caa64e817c6ca9cc1e5c665a7f595671106899c8eb8c,0,0:5c906a04946cec99de9bae1ca0bf041e441f44684c75c31bcb5974b480805fa2,"50,693353",USDT,1639945396000,,"42,2445"
ddcd8bae47e49e399025c6aa2e513ee8d9bc4645d6e5b2e6eb51583299fe13e1,receive,0,0:c21ad1703a6b53715447b3f7df75faceaf7eba9439aefd6edc788555c9e08141,0,0:5c906a04946cec99de9bae1ca0bf041e441f44684c75c31bcb5974b480805fa2,60,USDT,1639941156000,,"50,0000"
0b3361715cf2b39fe29a18846c9d811496342c0ae8fa56397e01b702f2f10553,receive,0,0:86164669fb7132d93ff9c105414023e7d18f629b53348d8fbc04df77f37fe280,0,0:5c906a04946cec99de9bae1ca0bf041e441f44684c75c31bcb5974b480805fa2,53,USDT,1639938198000,,"44,1667"
fde31af46feeadc55d92bd2f2fdad3afc13cb52fe6299e6339f5cfd993b7f79d,receive,0,0:304053c0734b6a58be5d1becc9602119f7ee36a1ad90d83abc43fe4ccdfffc2f,0,0:5c906a04946cec99de9bae1ca0bf041e441f44684c75c31bcb5974b480805fa2,"49,998945",USDT,1639938035000,,"41,6658"
a14bf8da54aed9631ff4c9eee37539564e712f94ee0197bac12da3aec964ecff,receive,0,0:2a9129702d3d057698ef0a7f4652d4f2f3c21a9ff61f8dfae878123be8c5cd21,0,0:5c906a04946cec99de9bae1ca0bf041e441f44684c75c31bcb5974b480805fa2,"2,154193",USDT,1639937011000,,"1,7952"
230076c79b43278192bf3a08c18ec60ff36d6d89c079e23f1755b41e7ffc8eb9,receive,0,0:b6c78c6b8b0d67de7ed12fa2be0e23210916f4367a76b450572701327e934ce2,0,0:5c906a04946cec99de9bae1ca0bf041e441f44684c75c31bcb5974b480805fa2,"2,773527",USDT,1639935521000,,"2,3113"
dcf1459ceb24f83c90704e047a4ce2390b2d1d80086b7071f900f1ddd3878d03,receive,0,0:5638e128870a7c7b6e6545b11a088b5f7fa02d2759d1b5ab340f6e7fc794907a,0,0:5c906a04946cec99de9bae1ca0bf041e441f44684c75c31bcb5974b480805fa2,"2963,743107",USDT,1639933062000,,"2469,7859"
17104394a826e4566e365f22dee0fb21f40eb457b9d27e696a4ab8ab4e54b6d6,receive,0,0:533aa80236fa014760eec02c8cc582704dcf2678c87c378d0ec3679f2e048779,0,0:5c906a04946cec99de9bae1ca0bf041e441f44684c75c31bcb5974b480805fa2,"2,892446",USDT,1639932810000,,"2,4104"
dded25c9dd033dadc1ef710212b2eaaf2315744f2cc5db64138f90b99d40ec43,receive,0,0:f1ec4aa86b7a39aea4be6f8a325c2e3f91422126a234db64094aceabd2875f8b,0,0:5c906a04946cec99de9bae1ca0bf041e441f44684c75c31bcb5974b480805fa2,"26,95891",USDT,1639931820000,,"22,4658"
03672254329110ee90bbef49ba8a356a11080df4b8654eb8a6c8edd57f8de7cd,receive,0,0:3131a2e5b96f71534311d5ae6670c408f70a317dc05265e7e3c455b3d335ba6c,0,0:5c906a04946cec99de9bae1ca0bf041e441f44684c75c31bcb5974b480805fa2,"91,500231",USDT,1639922053000,,"76,2502"
f0542d5d82d6ce5bc3c5d3124530f101458a580c16193d83922678e687d0d116,receive,0,0:3131a2e5b96f71534311d5ae6670c408f70a317dc05265e7e3c455b3d335ba6c,0,0:5c906a04946cec99de9bae1ca0bf041e441f44684c75c31bcb5974b480805fa2,"56,518998",USDT,1639917543000,,"47,0992"
0787ee4485460aefb998f812de862108e4b0cc75379f7159e7424e00ea2aa8d3,receive,0,0:c590e118a70156e2578a1bb7db48cdfb8becca14d7a969af10000e7a473ad4ad,0,0:5c906a04946cec99de9bae1ca0bf041e441f44684c75c31bcb5974b480805fa2,"194,676843",USDT,1639912745000,,"162,2307"
806d65bbd8c45ed0830bbbd21a40eade7171555036df11f78024cc3039928915,receive,0,0:448250a9cff54c3a9a8f9dfe0f62f51d71dfdec178dedeef6b0b339a2956d04a,0,0:5c906a04946cec99de9bae1ca0bf041e441f44684c75c31bcb5974b480805fa2,"57,487241",USDT,1639911305000,,"47,9060"
98637aa99f694aec533baa9cd989f91051a76c6a3994cc6cb8ea4539bd485ad2,receive,0,0:fdbc0c8ac30050ac2d3166ce714e3ca3a4641fe251a33751c037d88bbd514d49,0,0:5c906a04946cec99de9bae1ca0bf041e441f44684c75c31bcb5974b480805fa2,1000,USDT,1639903983000,,"833,3333"
,,,Итого:,,,"5261,547016",USDT,,,"4384,6225"
